benchmark	cpu	samples	atom_ns	stdlib_ns	atom/stdlib	atom_B	stdlib_B	atom_allocs	stdlib_allocs
ConditionalGreaterEqual	1	5	1.52	0.8421	1.80501	0	0	0	0
ConditionalGreaterRejected	1	5	1.043	0.4915	2.12208	0	0	0	0
ConditionalInt64GreaterChanged	1	5	4.809	4.106	1.17121	0	0	0	0
ConditionalInt64LessChanged	1	5	4.726	3.998	1.18209	0	0	0	0
ConditionalLessEqual	1	5	1.519	0.9562	1.58858	0	0	0	0
ConditionalLessRejected	1	5	1.044	0.5489	1.90199	0	0	0	0
ConditionalUint64GreaterChanged	1	5	4.763	4.051	1.17576	0	0	0	0
ConditionalUint64LessChanged	1	5	4.774	4.08	1.1701	0	0	0	0
Int32Add	1	5	4.23	4.259	0.993191	0	0	0	0
Int32Load	1	5	0.4122	0.3361	1.22642	0	0	0	0
ParallelAdd	1	5	3.635	3.584	1.01423	0	0	0	0
ParallelAdd	2	5	5.38	5.371	1.00168	0	0	0	0
ParallelAdd	4	5	5.482	5.399	1.01537	0	0	0	0
ParallelAdd	8	5	5.909	6.623	0.892194	0	0	0	0
ParallelCASIncrement	1	5	4.014	4.491	0.893788	0	0	0	0
ParallelCASIncrement	2	5	11.51	11.77	0.97791	0	0	0	0
ParallelCASIncrement	4	5	18.93	19.26	0.982866	0	0	0	0
ParallelCASIncrement	8	5	25.41	24.71	1.02833	0	0	0	0
ParallelConditionalPair	1	5	9.636	8.358	1.15291	0	0	0	0
ParallelConditionalPair	2	5	19.75	20.65	0.956416	0	0	0	0
ParallelConditionalPair	4	5	25.18	26.64	0.945195	0	0	0	0
ParallelConditionalPair	8	5	26.52	27.21	0.974642	0	0	0	0
ParallelLoad	1	5	0.2037	0.2043	0.997063	0	0	0	0
ParallelLoad	2	5	0.1048	0.1042	1.00576	0	0	0	0
ParallelLoad	4	5	0.05402	0.05434	0.994111	0	0	0	0
ParallelLoad	8	5	0.03791	0.03359	1.12861	0	0	0	0
Uint64Add	1	5	4.325	4.212	1.02683	0	0	0	0
Uint64And	1	5	4.107	4.185	0.981362	0	0	0	0
Uint64CASChanged	1	5	4.326	4.388	0.985871	0	0	0	0
Uint64CASRejected	1	5	4.108	4.18	0.982775	0	0	0	0
Uint64Load	1	5	0.3463	0.3509	0.986891	0	0	0	0
Uint64Or	1	5	4.237	4.245	0.998115	0	0	0	0
Uint64Store	1	5	4.094	4.099	0.99878	0	0	0	0
Uint64Swap	1	5	4.399	4.416	0.99615	0	0	0	0
ValuePointerCASChanged	1	5	7.127	7.091	1.00508	0	0	0	0
ValuePointerCASRejected	1	5	2.784	3.31	0.841088	0	0	0	0
ValuePointerLoad	1	5	0.8366	0.8665	0.965493	0	0	0	0
ValuePointerStore	1	5	5.662	5.561	1.01816	0	0	0	0
ValuePointerSwap	1	5	6.117	6.05	1.01107	0	0	0	0
ValueStructLoad	1	5	0.8364	1.014	0.824852	0	0	0	0
ValueStructStore	1	5	14.04	16.41	0.855576	16	16	1	1
ValueStructSwap	1	5	19.73	19.73	1	16	16	1	1
ValueSwapIfFuncChanged	1	5	7.055	8.909	0.791896	0	0	0	0
ValueSwapIfFuncRejected	1	5	3.233	3.283	0.98477	0	0	0	0
