benchmark	cpu	samples	atom_ns	stdlib_ns	atom/stdlib	atom_B	stdlib_B	atom_allocs	stdlib_allocs
ConditionalGreaterEqual	1	5	1.279	0.6831	1.87235	0	0	0	0
ConditionalGreaterRejected	1	5	1.118	0.5092	2.1956	0	0	0	0
ConditionalInt64GreaterChanged	1	5	5.056	4.242	1.19189	0	0	0	0
ConditionalInt64LessChanged	1	5	5.015	4.22	1.18839	0	0	0	0
ConditionalLessEqual	1	5	1.291	0.7503	1.72065	0	0	0	0
ConditionalLessRejected	1	5	1.101	0.591	1.86294	0	0	0	0
ConditionalUint64GreaterChanged	1	5	5.087	4.335	1.17347	0	0	0	0
ConditionalUint64LessChanged	1	5	5.175	4.343	1.19157	0	0	0	0
Int32Add	1	5	4.136	4.177	0.990184	0	0	0	0
Int32Load	1	5	0.3271	0.2968	1.10209	0	0	0	0
ParallelAdd	1	5	3.689	3.736	0.98742	0	0	0	0
ParallelAdd	2	5	5.471	5.337	1.02511	0	0	0	0
ParallelAdd	4	5	5.534	5.466	1.01244	0	0	0	0
ParallelAdd	8	5	6.175	5.716	1.0803	0	0	0	0
ParallelCASIncrement	1	5	4.094	4.107	0.996835	0	0	0	0
ParallelCASIncrement	2	5	12.69	11.8	1.07542	0	0	0	0
ParallelCASIncrement	4	5	18.03	19.12	0.942992	0	0	0	0
ParallelCASIncrement	8	5	25.15	26.72	0.941243	0	0	0	0
ParallelConditionalPair	1	5	9.179	7.937	1.15648	0	0	0	0
ParallelConditionalPair	2	5	20.56	19.7	1.04365	0	0	0	0
ParallelConditionalPair	4	5	31.61	30.09	1.05052	0	0	0	0
ParallelConditionalPair	8	5	32.37	32.03	1.01062	0	0	0	0
ParallelLoad	1	5	0.2025	0.2022	1.00148	0	0	0	0
ParallelLoad	2	5	0.1047	0.1056	0.991477	0	0	0	0
ParallelLoad	4	5	0.05458	0.05474	0.997077	0	0	0	0
ParallelLoad	8	5	0.03275	0.03421	0.957322	0	0	0	0
Uint64Add	1	5	4.099	4.137	0.990815	0	0	0	0
Uint64And	1	5	4.125	4.086	1.00954	0	0	0	0
Uint64CASChanged	1	5	4.104	4.172	0.983701	0	0	0	0
Uint64CASRejected	1	5	4.14	4.083	1.01396	0	0	0	0
Uint64Load	1	5	0.2966	0.2834	1.04658	0	0	0	0
Uint64Or	1	5	4.122	4.183	0.985417	0	0	0	0
Uint64Store	1	5	4.075	4.082	0.998285	0	0	0	0
Uint64Swap	1	5	4.373	4.402	0.993412	0	0	0	0
ValuePointerCASChanged	1	5	6.761	6.656	1.01578	0	0	0	0
ValuePointerCASRejected	1	5	2.689	2.846	0.944835	0	0	0	0
ValuePointerLoad	1	5	0.7108	0.7721	0.920606	0	0	0	0
ValuePointerStore	1	5	5.561	5.494	1.0122	0	0	0	0
ValuePointerSwap	1	5	5.77	5.789	0.996718	0	0	0	0
ValueStructLoad	1	5	0.746	0.9189	0.81184	0	0	0	0
ValueStructStore	1	5	13.04	12.64	1.03165	16	16	1	1
ValueStructSwap	1	5	13.89	13.41	1.03579	16	16	1	1
ValueSwapIfFuncChanged	1	5	6.672	8.414	0.792964	0	0	0	0
ValueSwapIfFuncRejected	1	5	2.505	2.522	0.993259	0	0	0	0
