benchmark	cpu	samples	atom_ns	stdlib_ns	atom/stdlib	atom_B	stdlib_B	atom_allocs	stdlib_allocs
ConditionalGreaterEqual	1	5	3.348	0.8116	4.12518	0	0	0	0
ConditionalGreaterRejected	1	5	2.398	0.5059	4.74007	0	0	0	0
ConditionalInt64GreaterChanged	1	5	5.549	4.241	1.30842	0	0	0	0
ConditionalInt64LessChanged	1	5	5.544	4.123	1.34465	0	0	0	0
ConditionalLessEqual	1	5	2.816	0.962	2.92723	0	0	0	0
ConditionalLessRejected	1	5	2.239	0.5958	3.75797	0	0	0	0
ConditionalUint64GreaterChanged	1	5	5.458	4.203	1.2986	0	0	0	0
ConditionalUint64LessChanged	1	5	5.655	4.227	1.33783	0	0	0	0
Int32Add	1	5	4.255	4.145	1.02654	0	0	0	0
Int32Load	1	5	0.4022	0.3225	1.24713	0	0	0	0
ParallelAdd	1	5	3.66	3.632	1.00771	0	0	0	0
ParallelAdd	2	5	5.302	5.401	0.98167	0	0	0	0
ParallelAdd	4	5	5.472	5.409	1.01165	0	0	0	0
ParallelAdd	8	5	6.382	6.773	0.942271	0	0	0	0
ParallelCASIncrement	1	5	4.17	4.28	0.974299	0	0	0	0
ParallelCASIncrement	2	5	12.22	12.6	0.969841	0	0	0	0
ParallelCASIncrement	4	5	18.71	19.29	0.969933	0	0	0	0
ParallelCASIncrement	8	5	25.15	25.1	1.00199	0	0	0	0
ParallelConditionalPair	1	5	11.6	8.274	1.40198	0	0	0	0
ParallelConditionalPair	2	5	23.04	22.43	1.0272	0	0	0	0
ParallelConditionalPair	4	5	27.87	25.98	1.07275	0	0	0	0
ParallelConditionalPair	8	5	28.33	27.13	1.04423	0	0	0	0
ParallelLoad	1	5	0.2025	0.2097	0.965665	0	0	0	0
ParallelLoad	2	5	0.1043	0.1046	0.997132	0	0	0	0
ParallelLoad	4	5	0.05433	0.0531	1.02316	0	0	0	0
ParallelLoad	8	5	0.03963	0.03716	1.06647	0	0	0	0
Uint64Add	1	5	4.313	4.279	1.00795	0	0	0	0
Uint64And	1	5	4.217	4.169	1.01151	0	0	0	0
Uint64CASChanged	1	5	4.262	4.214	1.01139	0	0	0	0
Uint64CASRejected	1	5	4.261	4.225	1.00852	0	0	0	0
Uint64Load	1	5	0.339	0.3429	0.988626	0	0	0	0
Uint64Or	1	5	4.119	4.197	0.981415	0	0	0	0
Uint64Store	1	5	4.103	4.102	1.00024	0	0	0	0
Uint64Swap	1	5	4.383	4.373	1.00229	0	0	0	0
ValuePointerCASChanged	1	5	6.845	6.792	1.0078	0	0	0	0
ValuePointerCASRejected	1	5	3.168	3.28	0.965854	0	0	0	0
ValuePointerLoad	1	5	0.7566	0.9013	0.839454	0	0	0	0
ValuePointerStore	1	5	5.727	5.567	1.02874	0	0	0	0
ValuePointerSwap	1	5	6.079	6.103	0.996068	0	0	0	0
ValueStructLoad	1	5	0.9085	1.063	0.854657	0	0	0	0
ValueStructStore	1	5	15.64	15.1	1.03576	16	16	1	1
ValueStructSwap	1	5	15.6	17.75	0.878873	16	16	1	1
ValueSwapIfFuncChanged	1	5	7.104	8.501	0.835666	0	0	0	0
ValueSwapIfFuncRejected	1	5	2.744	3.013	0.91072	0	0	0	0
