# label atom_ns atom_min atom_max stdlib_ns stdlib_min stdlib_max atom_B stdlib_B atom_allocs stdlib_allocs ratio
"PointerCASChanged"	6.845	6.765	7.242	6.792	6.532	7.175	0	0	0	0	1.0078
"PointerCASRejected"	3.168	2.956	3.248	3.28	2.708	3.4	0	0	0	0	0.965854
"PointerLoad"	0.7566	0.7198	0.8876	0.9013	0.7607	1.141	0	0	0	0	0.839454
"PointerStore"	5.727	5.241	5.766	5.567	5.466	5.789	0	0	0	0	1.02874
"PointerSwap"	6.079	5.529	6.162	6.103	6.027	6.111	0	0	0	0	0.996068
"StructLoad"	0.9085	0.731	0.9914	1.063	1.027	1.173	0	0	0	0	0.854657
"StructStore"	15.64	12.8	15.7	15.1	12.88	17.82	16	16	1	1	1.03576
"StructSwap"	15.6	15.3	20.47	17.75	15.14	20.14	16	16	1	1	0.878873
"SwapIfFuncChanged"	7.104	6.483	7.168	8.501	8.302	8.935	0	0	0	0	0.835666
"SwapIfFuncRejected"	2.744	2.481	3.057	3.013	2.255	3.315	0	0	0	0	0.91072
