benchmark	cpu	samples	atom_ns	stdlib_ns	atom/stdlib	atom_B	stdlib_B	atom_allocs	stdlib_allocs
ConditionalGreaterEqual	1	5	2.907	0.9007	3.22749	0	0	0	0
ConditionalGreaterRejected	1	5	1.98	0.5856	3.38115	0	0	0	0
ConditionalInt64GreaterChanged	1	5	5.388	4.168	1.29271	0	0	0	0
ConditionalInt64LessChanged	1	5	5.164	4.047	1.27601	0	0	0	0
ConditionalLessEqual	1	5	2.217	0.8519	2.60242	0	0	0	0
ConditionalLessRejected	1	5	1.835	0.5906	3.10701	0	0	0	0
ConditionalUint64GreaterChanged	1	5	5.379	4.074	1.32032	0	0	0	0
ConditionalUint64LessChanged	1	5	5.154	4.178	1.2336	0	0	0	0
Int32Add	1	5	4.254	4.208	1.01093	0	0	0	0
Int32Load	1	5	0.3784	0.3206	1.18029	0	0	0	0
ParallelAdd	1	5	3.669	3.703	0.990818	0	0	0	0
ParallelAdd	2	5	5.448	5.302	1.02754	0	0	0	0
ParallelAdd	4	5	5.529	5.437	1.01692	0	0	0	0
ParallelAdd	8	5	6.312	6.44	0.980124	0	0	0	0
ParallelCASIncrement	1	5	4.193	4.364	0.960816	0	0	0	0
ParallelCASIncrement	2	5	12.26	11.77	1.04163	0	0	0	0
ParallelCASIncrement	4	5	19.47	19.77	0.984825	0	0	0	0
ParallelCASIncrement	8	5	24.2	24.72	0.978964	0	0	0	0
ParallelConditionalPair	1	5	11.03	8.227	1.34071	0	0	0	0
ParallelConditionalPair	2	5	22.93	22.09	1.03803	0	0	0	0
ParallelConditionalPair	4	5	27.5	26.27	1.04682	0	0	0	0
ParallelConditionalPair	8	5	28.18	27.56	1.0225	0	0	0	0
ParallelLoad	1	5	0.2082	0.2047	1.0171	0	0	0	0
ParallelLoad	2	5	0.107	0.1039	1.02984	0	0	0	0
ParallelLoad	4	5	0.05467	0.05445	1.00404	0	0	0	0
ParallelLoad	8	5	0.03546	0.03968	0.893649	0	0	0	0
Uint64Add	1	5	4.258	4.266	0.998125	0	0	0	0
Uint64And	1	5	4.216	4.141	1.01811	0	0	0	0
Uint64CASChanged	1	5	4.302	4.291	1.00256	0	0	0	0
Uint64CASRejected	1	5	4.249	4.227	1.0052	0	0	0	0
Uint64Load	1	5	0.3398	0.3167	1.07294	0	0	0	0
Uint64Or	1	5	4.201	4.194	1.00167	0	0	0	0
Uint64Store	1	5	4.01	4.126	0.971886	0	0	0	0
Uint64Swap	1	5	4.424	4.429	0.998871	0	0	0	0
ValuePointerCASChanged	1	5	7.037	6.987	1.00716	0	0	0	0
ValuePointerCASRejected	1	5	2.915	3.044	0.957622	0	0	0	0
ValuePointerLoad	1	5	0.8669	0.908	0.954736	0	0	0	0
ValuePointerStore	1	5	5.706	5.718	0.997901	0	0	0	0
ValuePointerSwap	1	5	6.02	5.999	1.0035	0	0	0	0
ValueStructLoad	1	5	0.8453	1.011	0.836103	0	0	0	0
ValueStructStore	1	5	13.94	16.64	0.83774	16	16	1	1
ValueStructSwap	1	5	19.68	19.83	0.992436	16	16	1	1
ValueSwapIfFuncChanged	1	5	6.981	8.892	0.785088	0	0	0	0
ValueSwapIfFuncRejected	1	5	2.859	2.869	0.996514	0	0	0	0
