# label atom_ns atom_min atom_max stdlib_ns stdlib_min stdlib_max atom_B stdlib_B atom_allocs stdlib_allocs ratio
"PointerCASChanged"	7.037	6.989	7.16	6.987	6.656	7.166	0	0	0	0	1.00716
"PointerCASRejected"	2.915	2.801	3.272	3.044	2.928	3.272	0	0	0	0	0.957622
"PointerLoad"	0.8669	0.7577	0.8785	0.908	0.8703	1.122	0	0	0	0	0.954736
"PointerStore"	5.706	5.447	5.741	5.718	5.382	5.986	0	0	0	0	0.997901
"PointerSwap"	6.02	5.889	6.181	5.999	5.634	6.441	0	0	0	0	1.0035
"StructLoad"	0.8453	0.8049	0.9707	1.011	0.914	1.085	0	0	0	0	0.836103
"StructStore"	13.94	13.14	16.02	16.64	14.1	18.78	16	16	1	1	0.83774
"StructSwap"	19.68	14.87	20.45	19.83	14.33	21.25	16	16	1	1	0.992436
"SwapIfFuncChanged"	6.981	6.64	7.163	8.892	8.523	9.497	0	0	0	0	0.785088
"SwapIfFuncRejected"	2.859	2.489	3.047	2.869	2.585	3.34	0	0	0	0	0.996514
