benchmark	cpu	samples	atom_ns	stdlib_ns	atom/stdlib	atom_B	stdlib_B	atom_allocs	stdlib_allocs
ConditionalGreaterEqual	1	5	2.802	1.004	2.79084	0	0	0	0
ConditionalGreaterRejected	1	5	1.969	0.58	3.39483	0	0	0	0
ConditionalInt64GreaterChanged	1	5	5.154	4.065	1.2679	0	0	0	0
ConditionalInt64LessChanged	1	5	5.119	4.023	1.27243	0	0	0	0
ConditionalLessEqual	1	5	2.349	0.975	2.40923	0	0	0	0
ConditionalLessRejected	1	5	1.806	0.5095	3.54465	0	0	0	0
ConditionalUint64GreaterChanged	1	5	5.181	4.046	1.28052	0	0	0	0
ConditionalUint64LessChanged	1	5	5.164	4.066	1.27004	0	0	0	0
Int32Add	1	5	4.961	4.366	1.13628	0	0	0	0
Int32Load	1	5	2.463	0.3591	6.85881	0	0	0	0
ParallelAdd	1	5	4.29	3.744	1.14583	0	0	0	0
ParallelAdd	2	5	10.65	6.115	1.74162	0	0	0	0
ParallelAdd	4	5	11.98	7.091	1.68947	0	0	0	0
ParallelAdd	8	5	13.47	7.751	1.73784	0	0	0	0
ParallelCASIncrement	1	5	5.758	4.296	1.34032	0	0	0	0
ParallelCASIncrement	2	5	17.49	13.08	1.33716	0	0	0	0
ParallelCASIncrement	4	5	27.05	19.15	1.41253	0	0	0	0
ParallelCASIncrement	8	5	34.57	25.76	1.342	0	0	0	0
ParallelConditionalPair	1	5	11.11	8.288	1.34049	0	0	0	0
ParallelConditionalPair	2	5	22.89	21.28	1.07566	0	0	0	0
ParallelConditionalPair	4	5	27.64	26.53	1.04184	0	0	0	0
ParallelConditionalPair	8	5	28.58	27.48	1.04003	0	0	0	0
ParallelLoad	1	5	1.737	0.2099	8.27537	0	0	0	0
ParallelLoad	2	5	0.853	0.1048	8.13931	0	0	0	0
ParallelLoad	4	5	0.4314	0.05475	7.87945	0	0	0	0
ParallelLoad	8	5	0.2296	0.04002	5.73713	0	0	0	0
Uint64Add	1	5	4.947	4.306	1.14886	0	0	0	0
Uint64And	1	5	4.817	4.366	1.1033	0	0	0	0
Uint64CASChanged	1	5	4.99	4.4	1.13409	0	0	0	0
Uint64CASRejected	1	5	5.022	4.34	1.15714	0	0	0	0
Uint64Load	1	5	2.725	0.4233	6.43751	0	0	0	0
Uint64Or	1	5	4.776	4.326	1.10402	0	0	0	0
Uint64Store	1	5	4.759	4.142	1.14896	0	0	0	0
Uint64Swap	1	5	4.808	4.518	1.06419	0	0	0	0
ValuePointerCASChanged	1	5	7.067	6.96	1.01537	0	0	0	0
ValuePointerCASRejected	1	5	3.087	3.296	0.93659	0	0	0	0
ValuePointerLoad	1	5	0.909	1.353	0.67184	0	0	0	0
ValuePointerStore	1	5	5.703	5.68	1.00405	0	0	0	0
ValuePointerSwap	1	5	6.131	5.977	1.02577	0	0	0	0
ValueStructLoad	1	5	1.006	1.131	0.889478	0	0	0	0
ValueStructStore	1	5	15.1	15.38	0.981795	16	16	1	1
ValueStructSwap	1	5	15.5	15.5	1	16	16	1	1
ValueSwapIfFuncChanged	1	5	7.05	8.839	0.797602	0	0	0	0
ValueSwapIfFuncRejected	1	5	2.861	2.959	0.966881	0	0	0	0
